ID,Type,C1_L-10,C1_R+3,C2_L-10,C2_R+3,C3_L-10,C3_R+3
CU633906.1,lncRNA,1.19,0.44,0.38,0.27,4.15,3.02
CU633906.2,lncRNA,1.58,2.0,1.97,0.89,8.67,6.3
CU633906.5,lncRNA,0.77,0.75,2.07,1.07,2.57,2.93
CU633967.1,lncRNA,2.64,2.29,2.12,3.31,9.94,7.61
CU634019.1,lncRNA,1.37,0.62,0.69,0.36,6.75,5.48
CU634019.2,lncRNA,0.09,0.0,0.0,0.33,0.0,0.28
CU634019.5,lncRNA,0.81,1.1,0.68,0.63,2.01,0.95
CU638689.1,lncRNA,0.23,0.18,0.28,0.06,0.62,0.33
CU638689.4,lncRNA,1.6,3.43,2.19,2.57,9.79,11.07
CU638689.5,lncRNA,0.46,0.52,0.16,0.11,0.62,0.46
CU639417.4,lncRNA,0.17,0.0,0.5,0.21,4.88,0.41
CU639417.5,lncRNA,7.33,4.51,9.51,6.87,40.67,42.29
CXXC4-AS1,lncRNA,3.35,26.1,4.73,2.52,32.26,25.64
CXXC5-AS1,lncRNA,0.2,0.33,3.46,2.83,3.27,3.83
CYB561D2,lncRNA,0.83,2.79,0.72,0.2,8.49,5.26
CYMP-AS1,lncRNA,0.53,1.5,0.42,2.0,6.97,9.28
CYP1B1-AS1,lncRNA,49.05,26.25,23.6,13.46,64.95,50.39
CYP2U1-AS1,lncRNA,1.4,9.19,4.5,9.17,11.88,33.57
CYP4A22-AS1,lncRNA,1.08,0.33,0.83,5.02,4.5,8.2
CYP4F26P,lncRNA,4.98,1.66,1.0,4.18,12.99,6.43
CYP51A1-AS1,lncRNA,0.59,4.32,3.94,9.24,10.09,8.54
CYTOR,lncRNA,16.22,10.78,12.97,32.89,79.39,98.28
CYYR1-AS1,lncRNA,6.2,0.17,6.77,0.44,2.8,1.81
D21S2088E,lncRNA,1.78,4.53,3.31,5.65,35.3,33.7
DAAM2-AS1,lncRNA,3.85,6.06,9.0,6.36,14.95,10.67
DAB1-AS1,lncRNA,6.41,1.96,8.55,0.93,25.37,9.2
DACT3-AS1,lncRNA,8.57,7.44,24.97,4.2,32.06,30.12
DANCR,lncRNA,16.85,14.86,45.13,64.53,41.35,47.65
DANT1,lncRNA,0.0,1.09,0.0,0.0,1.29,0.25
DANT2,lncRNA,5.0,2.43,7.49,5.29,20.82,9.36
DAOA-AS1,lncRNA,0.0,2.12,0.63,0.0,1.21,1.19
DAP-DT,lncRNA,0.23,0.82,0.43,0.09,1.2,1.39
DAPK1-IT1,lncRNA,1.0,0.64,0.07,1.25,1.23,2.76
DARS1-AS1,lncRNA,12.88,9.12,13.74,15.29,111.5,86.42
DBET,lncRNA,4.66,2.71,3.67,11.88,22.66,14.8
DBH-AS1,lncRNA,2.32,0.86,8.66,2.78,27.26,17.13
DCST1-AS1,lncRNA,0.0,0.0,0.0,0.33,0.8,1.0
DCTN1-AS1,lncRNA,2.9,3.23,5.62,4.12,24.12,23.73
DCUN1D2-AS,lncRNA,1.0,2.32,0.7,0.17,0.75,1.93
DCXR-DT,lncRNA,6.2,0.36,0.29,1.73,3.45,6.73
DDC-AS1,lncRNA,0.27,0.06,2.69,5.72,10.15,5.58
DDN-AS1,lncRNA,2.18,2.38,4.69,4.01,14.64,17.54
DDR1-DT,lncRNA,0.25,2.52,4.87,4.01,3.53,4.52
DDX11-AS1,lncRNA,0.93,0.7,2.06,2.76,17.11,8.27
DDX39B-AS1,lncRNA,10.55,15.58,3.64,11.73,6.51,7.97
DDX59-AS1,lncRNA,1.83,6.6,0.37,2.31,1.67,2.91
DELEC1,lncRNA,2.27,9.21,2.9,3.31,11.04,11.1
DENND5B-AS1,lncRNA,5.38,20.85,249.93,14.19,27.28,28.34
DENND6A-AS1,lncRNA,0.0,0.55,0.0,0.0,0.79,0.65
DENND6A-DT,lncRNA,1.09,3.19,1.52,7.33,9.38,4.2
DEPDC1-AS1,lncRNA,0.14,0.11,0.33,0.28,9.03,9.2
DGCR11,lncRNA,0.0,2.25,1.11,0.0,2.43,4.28
DGCR5,lncRNA,7.04,27.33,7.98,20.19,71.28,89.01
DGUOK-AS1,lncRNA,0.42,0.29,0.76,0.1,7.55,6.83
DHCR24-DT,lncRNA,0.25,1.25,2.38,1.14,14.11,16.75
DHDDS-AS1,lncRNA,0.0,0.0,0.1,0.03,1.45,0.72
DHRS4-AS1,lncRNA,12.73,9.61,10.49,18.12,37.73,37.33
DHRSX-IT1,lncRNA,0.0,0.4,1.3,0.9,2.5,3.04
DHX33-DT,lncRNA,0.25,0.4,0.33,0.0,2.56,0.68
DIAPH1-AS1,lncRNA,0.49,2.19,2.61,0.29,8.85,10.98
DIAPH2-AS1,lncRNA,1.83,0.08,0.0,1.29,1.83,4.32
DIAPH3-AS1,lncRNA,0.0,0.43,0.17,0.2,0.44,1.15
DIAPH3-AS2,lncRNA,1.11,0.0,1.75,0.0,2.51,1.89
DICER1-AS1,lncRNA,4.3,6.66,5.5,6.99,19.52,12.24
