ID,Type,C1_L-10,C1_R+3,C2_L-10,C2_R+3,C3_L-10,C3_R+3
AC004224.2,lncRNA,0,0,0,2,8,5
AC004231.1,lncRNA,34,0,6,3,49,9
AC004231.3,lncRNA,0,0,0,0,1,1
AC004232.1,lncRNA,16,5,10,36,30,32
AC004233.1,lncRNA,1,0,1,2,4,4
AC004233.2,lncRNA,1,3,0,3,2,1
AC004233.3,lncRNA,0,1,0,0,2,1
AC004241.1,lncRNA,1,2,5,7,15,15
AC004241.2,lncRNA,0,0,0,0,1,1
AC004241.4,lncRNA,0,0,0,2,1,0
AC004253.1,lncRNA,0,0,0,0,1,1
AC004263.1,lncRNA,0,2,0,2,4,1
AC004263.2,lncRNA,1,2,2,3,5,6
AC004264.1,lncRNA,5,9,9,6,14,13
AC004381.1,lncRNA,0,0,0,0,1,1
AC004408.1,lncRNA,0,0,0,1,2,2
AC004415.1,lncRNA,0,0,0,0,1,0
AC004448.1,lncRNA,0,0,0,0,1,0
AC004448.2,lncRNA,2,4,7,6,26,21
AC004448.3,lncRNA,0,0,1,1,5,3
AC004448.5,lncRNA,0,0,2,0,1,1
AC004449.1,lncRNA,0,0,0,0,3,6
AC004461.2,lncRNA,0,0,0,0,1,2
AC004464.1,lncRNA,0,0,0,6,1,0
AC004466.1,lncRNA,0,0,1,0,4,1
AC004466.2,lncRNA,1,0,1,0,0,0
AC004466.3,lncRNA,1,1,1,0,3,2
AC004470.1,lncRNA,0,0,0,0,1,3
AC004470.2,lncRNA,0,0,0,0,2,3
AC004471.1,lncRNA,2,0,2,2,9,5
AC004471.2,lncRNA,2,1,2,1,2,3
AC004477.1,lncRNA,0,0,0,0,0,1
AC004485.1,lncRNA,0,0,0,7,0,0
AC004490.1,lncRNA,2,1,1,5,24,32
AC004492.1,lncRNA,0,0,1,0,1,1
AC004494.1,lncRNA,8,27,21,14,85,120
AC004510.2,lncRNA,4,0,1,2,2,2
AC004522.3,lncRNA,0,0,3,0,3,1
AC004522.4,lncRNA,1,0,0,0,1,0
AC004522.5,lncRNA,3,5,2,3,3,4
