"ID","logFC","logCPM","LR","PValue","FDR"
"AC087721.1",4.20020744655033,3.56934705168032,7.39093190405824,0.00655535162765929,0.49514885076162
"AL358333.3",4.21477004290092,3.54511055450962,7.38450591805897,0.00657881401112204,0.49514885076162
"AC079804.3",-1.8321638424399,5.22786565608828,7.35027526357142,0.00670524889503585,0.502295546334235
"LINC00656",-2.70687024282685,4.01341136988425,7.3169184866312,0.00683084379068986,0.507284758753084
"AC009133.3",2.30301945740937,4.36418566999176,7.3103927546107,0.00685569412094457,0.507284758753084
"AL356234.2",-1.90360577575896,4.70212112347318,7.29683074528524,0.00690763475314812,0.507284758753084
"AL078605.1",1.79179206193543,5.40566323812536,7.275944166694,0.00698841495496701,0.507284758753084
"AC010424.3",2.35547395774441,4.33143901757762,7.27124871459059,0.00700670739389816,0.507284758753084
"AC008434.1",4.23747774886423,3.51490154663936,7.26923111619991,0.00701458252700694,0.507284758753084
"AL137024.1",4.23747774886423,3.51490154663936,7.26923111619991,0.00701458252700694,0.507284758753084
"AL392172.1",2.54773822594187,4.2663500852262,7.26626080684724,0.00702619276036798,0.507284758753084
"AC009120.5",2.5668585248292,4.23667343642338,7.24526051394134,0.00710883996975085,0.510939867375426
"AC051619.6",-1.72365281808054,9.97522177085758,7.22438708899491,0.00719197238587154,0.514596912058145
"AL445648.1",1.96965470658161,4.75387565654243,7.19453215019442,0.00731260535373389,0.519842338845353
"AC009159.2",4.05039985077035,3.51456450371,7.18220374948353,0.00736302134488905,0.519842338845353
"AL158042.1",4.05039985077035,3.51456450371,7.18220374948353,0.00736302134488905,0.519842338845353
"PDE9A-AS1",-1.9286911221059,4.71090816621877,7.16117947183974,0.00744981939591598,0.523234577817289
"RMRP",-1.8742344848553,11.7962530866197,7.14794330058074,0.00750500028984481,0.523234577817289
"AC138649.1",1.54937879950128,5.56883735553962,7.14688127797464,0.00750944587115563,0.523234577817289
"LINC02713",-4.17628566441634,3.44230265039977,7.13749405073172,0.00754885764268124,0.523693793680965
"AL049796.1",-1.71473527100214,12.96949963774,7.11278362376873,0.00765361706881289,0.528662830952288
"AL359502.2",-2.21684438990757,4.32441747699617,7.08056109838908,0.00779246062867089,0.534391088745267
"AC023355.1",-1.55835785814914,7.94606727616132,7.07801747182108,0.0078035299371802,0.534391088745267
"LINC02869",2.31453567372689,4.30158734409054,7.05476915376487,0.00790544964589403,0.537861396037926
"AC133919.1",1.57926888280787,5.44870140575824,7.05110797892114,0.00792162371953576,0.537861396037926
"KCNMA1-AS1",-1.5908704554911,7.94687823540612,7.03629857036717,0.00798739372162945,0.540029043314913
"AC104117.3",-4.14204028353828,3.49065053302824,7.01764805846022,0.00807101771825014,0.543380416508014
"AC079322.1",2.52728823748123,4.21108407509294,6.96524225954858,0.00831081797763706,0.553442976865852
