ID,Type,C1_L-10,C1_R+3,C2_L-10,C2_R+3,C3_L-10,C3_R+3
NABP1-OT1,lncRNA,0.0,1.0,1.0,0.0,8.0,5.0
NADK2-AS1,lncRNA,0.0,0.0,0.0,0.0,0.0,1.0
NAGPA-AS1,lncRNA,0.0,2.5,0.5,2.5,4.5,9.5
NALCN-AS1,lncRNA,2.0,7.0,6.0,1.5,14.5,15.0
NALT1,lncRNA,33.0,37.0,27.5,26.0,146.0,94.0
NAMA,lncRNA,2.0,5.0,1.0,10.0,11.5,6.0
NANOGP11,lncRNA,0.0,0.0,0.0,0.0,2.0,0.0
NAPA-AS1,lncRNA,1.5,3.0,1.0,0.5,10.0,5.5
NARF-AS1,lncRNA,0.0,0.0,0.0,1.0,0.0,0.0
NARF-IT1,lncRNA,0.0,3.5,2.0,3.0,8.0,10.5
NAV2-AS1,lncRNA,0.0,0.0,0.0,0.0,0.0,1.0
NAV2-AS2,lncRNA,0.5,1.0,1.5,1.0,1.0,0.0
NAV2-AS3,lncRNA,0.0,0.0,1.0,0.0,0.0,1.0
NAV2-AS4,lncRNA,2.0,0.0,0.0,2.0,1.0,6.0
NAV2-AS5,lncRNA,2.0,2.0,0.0,0.0,1.0,4.0
NAV2-IT1,lncRNA,0.0,2.0,1.0,0.0,1.0,1.0
NBAT1,lncRNA,1.0,1.0,3.0,1.0,4.5,4.0
NBR2,lncRNA,1.0,2.0,1.0,6.0,7.5,13.0
NCAM1-AS1,lncRNA,1.0,0.5,3.0,0.0,15.5,6.0
NCBP2-AS1,lncRNA,1.0,0.5,0.0,0.0,0.5,0.5
NCF4-AS1,lncRNA,0.0,0.0,0.0,0.0,1.0,1.0
NCK1-DT,lncRNA,4.0,6.5,4.5,6.0,10.5,7.5
NCKAP5-AS1,lncRNA,1.0,0.0,2.0,1.0,8.0,2.0
NCKAP5-AS2,lncRNA,0.0,0.0,0.0,0.0,5.0,2.0
NCKAP5-IT1,lncRNA,0.0,0.0,1.0,0.0,2.0,0.0
NCMAP-DT,lncRNA,2.0,1.0,0.0,0.0,1.5,1.5
NCRNA00250,lncRNA,0.0,0.0,0.0,0.0,1.0,1.0
NDFIP2-AS1,lncRNA,0.0,1.0,3.0,0.0,20.0,10.0
NDP-AS1,lncRNA,9.0,9.0,8.0,7.0,20.0,10.5
NDST1-AS1,lncRNA,0.0,0.0,0.5,0.0,2.0,1.0
NDUFA6-DT,lncRNA,3.0,5.0,17.0,1.0,23.0,19.0
NDUFB2-AS1,lncRNA,3.0,3.0,2.5,3.0,6.5,11.5
NDUFV2-AS1,lncRNA,0.0,4.0,2.5,1.0,55.5,35.5
NEAT1,lncRNA,20.5,17.0,15.5,34.5,52.0,54.0
NEBL-AS1,lncRNA,3.0,0.0,1.0,0.0,4.5,6.5
NECTIN1-AS1,lncRNA,3.0,0.0,0.0,0.0,1.0,2.0
NECTIN3-AS1,lncRNA,0.0,3.0,8.0,1.0,10.0,8.0
NECTIN4-AS1,lncRNA,0.0,0.0,1.0,0.0,2.0,1.0
NEGR1-IT1,lncRNA,0.0,3.0,0.0,0.0,0.0,0.0
NEURL1-AS1,lncRNA,0.0,1.0,2.0,0.0,8.0,4.0
NEUROG2-AS1,lncRNA,0.0,0.0,4.0,2.0,0.5,1.5
NEXN-AS1,lncRNA,4.0,8.0,7.5,4.0,23.0,15.5
NFE2L1-DT,lncRNA,2.0,3.0,1.0,0.0,4.0,9.0
NFE4,lncRNA,3.0,5.0,2.0,3.0,16.0,4.0
NFIA-AS1,lncRNA,0.0,0.0,0.0,0.0,1.0,0.0
NFIA-AS2,lncRNA,1.0,3.0,1.0,1.0,5.0,5.0
NFYC-AS1,lncRNA,0.0,0.5,5.5,0.5,13.5,3.5
NGF-AS1,lncRNA,0.0,0.0,1.0,1.0,2.0,0.0
NHEG1,lncRNA,0.0,0.0,2.0,1.0,2.0,2.0
NIFK-AS1,lncRNA,39.5,28.5,21.0,35.0,100.5,84.5
NINJ2-AS1,lncRNA,3.0,5.5,8.0,9.5,49.0,60.5
NIPBL-DT,lncRNA,4.0,7.0,6.0,3.0,18.0,18.0
NKILA,lncRNA,2.0,2.5,3.0,3.0,16.0,16.5
NKX2-1-AS1,lncRNA,8.0,11.0,1.5,4.33,14.0,9.5
NKX2-2-AS1,lncRNA,0.0,0.0,0.5,1.0,1.0,0.0
NLGN1-AS1,lncRNA,0.0,0.0,0.0,0.0,0.0,1.0
NLGN4Y-AS1,lncRNA,1.0,0.0,0.0,1.0,0.0,0.0
NMBR-AS1,lncRNA,0.5,0.0,0.5,0.0,1.0,2.0
NNT-AS1,lncRNA,1.5,7.0,1.5,3.0,12.5,4.0
NOL4L-DT,lncRNA,1.0,0.0,0.0,0.0,2.0,1.0
NOP14-AS1,lncRNA,5.0,7.5,9.0,6.0,91.5,42.0
NOP53-AS1,lncRNA,0.0,1.5,0.0,0.0,0.0,0.0
NORAD,lncRNA,14.0,7.0,6.0,11.0,128.0,130.0
NPAS2-AS1,lncRNA,0.0,0.0,0.0,3.5,4.5,6.0
NPHP3-AS1,lncRNA,1.33,4.0,41.0,5.0,9.0,5.0
NPSR1-AS1,lncRNA,1.0,2.0,0.0,0.0,4.0,3.0
NPTN-IT1,lncRNA,0.0,0.0,1.0,1.0,6.0,6.0
NQO2-AS1,lncRNA,1.5,0.5,2.0,0.0,5.5,2.33
NR2F1-AS1,lncRNA,21.0,19.0,10.0,26.0,64.5,50.5
NR2F2-AS1,lncRNA,27.0,30.0,26.0,29.0,84.0,76.0
NR4A1AS,lncRNA,0.5,0.0,0.0,0.0,2.0,1.0
NRAD1,lncRNA,0.0,4.0,1.0,1.5,6.5,7.0
NRAV,lncRNA,6.0,2.0,0.0,0.0,6.0,8.0
NREP-AS1,lncRNA,0.0,0.0,0.0,0.0,0.0,1.0
NRG1-IT1,lncRNA,1.0,0.0,0.0,3.0,1.0,2.0
NRG1-IT3,lncRNA,1.0,0.0,1.0,0.0,2.0,0.0
NRG3-AS1,lncRNA,0.0,1.0,0.0,0.0,1.0,0.0
NRIR,lncRNA,3.0,2.0,0.0,3.0,2.0,8.0
NRSN2-AS1,lncRNA,3.0,7.0,5.0,9.0,6.0,11.0
NRXN2-AS1,lncRNA,0.0,0.0,0.0,0.0,0.0,1.0
NSMCE1-DT,lncRNA,3.0,6.0,2.0,3.0,10.0,21.0
NTM-AS1,lncRNA,3.0,3.0,4.0,6.0,13.5,10.5
NTM-IT,lncRNA,0.0,0.0,0.0,0.0,1.0,0.0
NTRK3-AS1,lncRNA,5.0,0.0,2.0,2.0,8.0,3.0
NUCB1-AS1,lncRNA,0.0,1.0,0.0,0.0,3.0,4.0
NUP153-AS1,lncRNA,2.5,1.0,4.0,5.0,19.0,6.0
NUP50-DT,lncRNA,4.0,3.0,4.0,9.0,4.0,7.0
NUTM2A-AS1,lncRNA,9.5,11.0,2.0,8.0,22.0,30.5
NUTM2B-AS1,lncRNA,9.5,20.0,4.0,10.0,23.0,20.0
NXT1-AS1,lncRNA,0.0,0.0,1.0,0.0,6.0,3.0
OBI1-AS1,lncRNA,3.0,5.0,4.0,0.5,12.0,17.0
OBSCN-AS1,lncRNA,6.0,4.5,4.0,4.5,18.5,26.0
OCIAD1-AS1,lncRNA,0.0,0.0,0.0,0.0,1.0,0.5
ODC1-DT,lncRNA,4.0,3.0,4.0,6.0,19.0,13.0
ODF2-AS1,lncRNA,1.0,0.0,0.5,1.5,3.0,0.0
OGFR-AS1,lncRNA,1.0,1.0,1.0,1.0,5.0,4.5
OGFRP1,lncRNA,3.0,7.0,6.0,7.0,28.0,13.0
OIP5-AS1,lncRNA,3.0,14.0,2.5,9.5,11.5,24.0
OLMALINC,lncRNA,2.0,16.0,6.0,21.0,28.0,21.0
OOEP-AS1,lncRNA,1.5,0.0,1.0,0.0,3.0,3.0
OPA1-AS1,lncRNA,0.0,0.0,0.0,0.0,0.0,0.5
OPCML-IT1,lncRNA,0.0,0.0,2.0,3.0,12.0,11.0
OPCML-IT2,lncRNA,0.0,0.0,0.0,1.0,1.0,1.0
OR2A1-AS1,lncRNA,1.0,0.0,0.0,0.0,4.33,5.33
OR7E11P,lncRNA,0.0,0.5,0.5,1.0,0.5,1.5
OSBPL10-AS1,lncRNA,2.0,5.0,1.0,0.0,6.0,5.0
OSER1-DT,lncRNA,3.0,6.0,3.0,10.0,12.0,9.0
OSGEPL1-AS1,lncRNA,0.0,0.0,1.0,0.0,13.0,11.0
OSMR-AS1,lncRNA,2.0,3.0,2.0,2.0,4.0,7.0
OSTM1-AS1,lncRNA,2.0,7.0,5.0,11.0,12.0,13.0
OSTN-AS1,lncRNA,0.0,0.0,0.0,1.0,0.0,0.0
OTUD6B-AS1,lncRNA,4.0,10.0,5.0,7.5,14.5,18.5
